KIT ID,Текущий путь KIT,Текущая категория,Родитель KIT,Скрыта в меню,Дубль названия в KIT,Дубль полного пути,Предлагаемое название,Путь Ozon,Уровень Ozon,Ozon description_category_id,Ozon type_id,Тип совпадения,Оценка совпадения,Уверенность,Предлагаемое действие,Комментарий
01a0bdf9-0f82-7f3f-8d27-9fd783e6aadb,Мебель для персонала > Оникс > Столы операторские > Столы прямые на ЛДСП опорах,Столы прямые на ЛДСП опорах,Столы операторские,Нет,Нет,Нет,Столы,Мебель > Столы,category,17027918,,Нечёткое совпадение,82.2,Низкая,Проверить вручную,Автоматическое переименование небезопасно.
01a0bdfa-b7dc-715c-8e23-2479233af97c,Мебель для персонала > Оникс > Столы операторские > Столы эргономичные на ЛДСП опорах,Столы эргономичные на ЛДСП опорах,Столы операторские,Нет,Нет,Нет,Столы,Мебель > Столы,category,17027918,,Нечёткое совпадение,82.2,Низкая,Проверить вручную,Автоматическое переименование небезопасно.
01a0be01-007f-7c71-a19e-66c035c774ec,"Офис > Ежедневники, планинги, органайзеры, календари > Календари > Календари карманные",Календари карманные,Календари,Нет,Нет,Нет,Календарь,Канцелярские товары > Бумажная продукция > Календарь,type,,115951185,Нечёткое совпадение,74.5,Низкая,Проверить вручную,"Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0be21-cac3-770b-b652-f37c326b4c53,Мебель для персонала > Оникс Вуд > Рабочие станции > Прямые рабочие станции F2F,Прямые рабочие станции F2F,Рабочие станции,Нет,Нет,Нет,Брюки рабочие,Одежда > Спецодежда > Брюки рабочие,type,,93059,Нечёткое совпадение,76.3,Низкая,Проверить вручную,"Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0be52-40c9-792c-8ab2-e0e19016f680,Офис > Упаковка > Конверты и пакеты почтовые > Пакеты для сопроводительных документов,Пакеты для сопроводительных документов,Конверты и пакеты почтовые,Нет,Нет,Нет,Заколка для волос,Галантерея и аксессуары > Аксессуары для волос > Заколка для волос,type,,97576,Нечёткое совпадение,75.2,Низкая,Проверить вручную,"Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0be58-bdfe-7605-ae76-3009c000aaf3,Мебель для персонала > Рива > Столы переговорные,Столы переговорные,Рива,Нет,Да,Нет,Столы,Мебель > Столы,category,17027918,,Нечёткое совпадение,84.0,Низкая,Проверить вручную,Название встречается в KIT несколько раз. Автоматическое переименование небезопасно.
01a0be59-1bc0-7f34-bd18-b4dc7d74fa60,Мебель для персонала > Рива > Системы хранения > Полки,Полки,Системы хранения,Нет,Да,Нет,Полки и стеллажи,Мебель > Полки и стеллажи,category,80731485,,Нечёткое совпадение,82.6,Низкая,Проверить вручную,Название встречается в KIT несколько раз. Автоматическое переименование небезопасно.
01a0be59-7afe-73a3-b41d-e0df3cb62edb,Мебель для персонала > Рива > Аксессуары,Аксессуары,Рива,Нет,Да,Нет,Аксессуары,Галантерея и аксессуары > Аксессуары,category,17027904,,Точное совпадение,100.0,Высокая,Оставить,Название встречается в KIT несколько раз.
01a0be65-7fb4-7bc2-b75e-8b37857d3539,Офис > Папки и системы архивации > Короба и архивные системы картонные > Накопители документов,Накопители документов,Короба и архивные системы картонные,Нет,Нет,Нет,"Жесткие диски, SSD и сетевые накопители","Электроника > Жесткие диски, SSD и сетевые накопители",category,17028626,,Нечёткое совпадение,76.1,Низкая,Проверить вручную,Автоматическое переименование небезопасно.
01a0be74-0add-7d94-a40c-e967715b067d,"Подарки и праздник > Наградная продукция > Адресные папки, грамоты, дипломы > Папки адресные",Папки адресные,"Адресные папки, грамоты, дипломы",Нет,Нет,Нет,Разделитель для папки,Канцелярские товары > Папки и файлы > Разделитель для папки,type,,94477,Нечёткое совпадение,76.2,Низкая,Проверить вручную,"Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0be7a-46d2-72bc-9ca0-d1685f67756e,"Офис > Бумага для офисной техники > Блоки для записей, закладки > Блоки для записей в подставке",Блоки для записей в подставке,"Блоки для записей, закладки",Нет,Нет,Нет,Вкладыш для одежды,Галантерея и аксессуары > Аксессуары для одежды и обуви > Вкладыш для одежды,type,,970807508,Нечёткое совпадение,75.2,Низкая,Проверить вручную,"Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0be83-9e2b-79d8-98d2-80809fa283b6,Офис > Бумага для офисной техники > Дизайн- и сертификат-бумага,Дизайн- и сертификат-бумага,Бумага для офисной техники,Нет,Нет,Нет,Бумага,Канцелярские товары > Бумага,category,17029017,,Нечёткое совпадение,80.7,Низкая,Проверить вручную,Автоматическое переименование небезопасно.
